Country,Christians,% Christian,% Catholic,% Protestant/ Orthodox/ Other Christian,GDP/Capita PPP World Bank 2012
Croatia ( details ),4107000,90.1% R,86.2%,4.7%,20532
Cuba ( details ),6670000,59.2%,52.7%,7.5%,
Cyprus ( details ),863000,79% [http://www.globalreligiousfutures.org/countries/cyprus/religious_demography#/?affiliations_religion_id=0&affiliations_year=2010 Pew Research Center's Religion & Public Life Project: Cyprus] . Pew Research Center . 2010.,1%,78%,30597
Czech Republic ( details ),1175000,34%,29.0%,5.0%,26426
Denmark ( details ),"4,400,754 [http://www.km.dk/folkekirken/kirkestatistik/folkekirkens-medlemstal/ Church membership 1990–2015] Kirkeministeriet da",79%,1%,77.8% [http://www.km.dk/folkekirken/kirkestatistik/folkekirkens-medlemstal/ Fler lämnade kyrkan i Danmark] 3.1.2013 Kyrkans tidning,41388
Djibouti ( details ),53000,6.0%,1%,5%,2784
Dominica ( details ),59000,88.7%,61%,27%,12643
Dominican Republic ( details ),9734000,83%,65%,18%,10204
East Timor ( details ),1152000,99.1%,96.9%,2.2%,
Ecuador ( details ),14099000,94.0%,74%,20%,9738
Egypt ( details ),9029000,10.0%,,,6723
El Salvador ( details ),5073000,81.9%,52.6%,29.3%,7069
Equatorial Guinea ( details ),683000,88.7%,80.7%,8.0%,30233
Eritrea ( details ),3577000,67% http://www.globalreligiousfutures.org/countries/eritrea,4%,54%,566
Estonia ( details ),310000,45%,3%,42%,23024
Eswatini ( details ),994000,82.7%,25%,57.7%,5246
Ethiopia ( details ),77477000,75%,0.7%,63.4%,1139
Falkland Islands ( details ),3000,94.3%,,94%,
Faroe Islands ( details ),33000,95.4%,,94%,
Fiji ( details ),540000,64.4%,8.9%,55.5%,4943
